,name,id,frequency,er,tanl,quarter,res,height,root_width,width,output_padding,port_1_padding,fe
48,4350B,5,5.0,2.16,0.0027,10.4500968791162,100.0,0.254,0.464254657922968,0.7778163870605752,0.9724454732901908,0.9724454732901908,0.00407965768635216
49,4350B,5,5.0,2.16,0.0033666666666666,10.402669963278,100.0,0.254,0.462860389938417,0.7778163870605752,0.9724454732901908,0.9724454732901908,0.004079657170729691
50,4350B,5,5.0,2.16,0.0040333333333333,10.3584343147244,100.0,0.254,0.458022451482395,0.7778163870605752,0.9724454732901908,0.9724454732901908,0.004079656541784221
51,4350B,5,5.0,2.16,0.0047,10.6161755506612,100.0,0.254,0.460432203432196,0.7778163870605752,0.9724454732901908,0.9724454732901908,0.0040796557995161145
52,4350B,5,5.0,2.6933333333333334,0.0027,9.5937246231427,100.0,0.254,0.394464763781803,0.6731567037107284,0.8606655455424008,0.8606655455424008,0.003653470009121795
53,4350B,5,5.0,2.6933333333333334,0.0033666666666666,9.54313755722022,100.0,0.254,0.393524910157851,0.6731567037107284,0.8606655455424008,0.8606655455424008,0.0036534695473646158
54,4350B,5,5.0,2.6933333333333334,0.0040333333333333,9.49257537172563,100.0,0.254,0.397522648272526,0.6731567037107284,0.8606655455424008,0.8606655455424008,0.0036534689841228943
55,4350B,5,5.0,2.6933333333333334,0.0047,9.44204059298156,100.0,0.254,0.396361188697742,0.6731567037107284,0.8606655455424008,0.8606655455424008,0.003653468319396961
56,4350B,5,5.0,3.2266666666666666,0.0027,8.83822817698755,100.0,0.254,0.345489959718473,0.5948348217777082,0.7778573670374725,0.7778573670374725,0.0033379017433790405
57,4350B,5,5.0,3.2266666666666666,0.0033666666666666,8.94497665431195,100.0,0.254,0.344295853394589,0.5948348217777082,0.7778573670374725,0.7778573670374725,0.0033379013215061116
58,4350B,5,5.0,3.2266666666666666,0.0040333333333333,8.86482051334189,100.0,0.254,0.343227972976748,0.5948348217777082,0.7778573670374725,0.7778573670374725,0.0033379008069143626
59,4350B,5,5.0,3.2266666666666666,0.0047,8.92958702284765,100.0,0.254,0.345115398800994,0.5948348217777082,0.7778573670374725,0.7778573670374725,0.0033379001996040937
60,4350B,5,5.0,3.76,0.0027,8.34972563955649,100.0,0.254,0.304165385172608,0.5332781194404852,0.7133346825953917,0.7133346825953917,0.0030921224020697357
61,4350B,5,5.0,3.76,0.0033666666666666,8.23300997399621,100.0,0.254,0.307425594225208,0.5332781194404852,0.7133346825953917,0.7133346825953917,0.003092122011260528
62,4350B,5,5.0,3.76,0.0040333333333333,8.12799400401865,100.0,0.254,0.30554097611696,0.5332781194404852,0.7133346825953917,0.7133346825953917,0.003092121534559655
63,4350B,5,5.0,3.76,0.0047,8.18844472000093,100.0,0.254,0.305863880346523,0.5332781194404852,0.7133346825953917,0.7133346825953917,0.003092120971967395
64,4350B,5,5.75,2.16,0.0027,9.10988928318565,100.0,0.254,0.463886879306612,0.7778163870605752,0.839413127124474,0.839413127124474,0.003547528422914922
65,4350B,5,5.75,2.16,0.0033666666666666,8.98970841765309,100.0,0.254,0.463794701004649,0.7778163870605752,0.839413127124474,0.839413127124474,0.003547527974547558
66,4350B,5,5.75,2.16,0.0040333333333333,9.09297314612372,100.0,0.254,0.463020497525474,0.7778163870605752,0.839413127124474,0.839413127124474,0.0035475274276384533
67,4350B,5,5.75,2.16,0.0047,8.99985314851202,100.0,0.254,0.463518029125604,0.7778163870605752,0.839413127124474,0.839413127124474,0.003547526782187926
68,4350B,5,5.75,2.6933333333333334,0.0027,8.11781485800626,100.0,0.254,0.391747580534044,0.6731567037107284,0.7415306268002013,0.7415306268002013,0.0031769304427146042
69,4350B,5,5.75,2.6933333333333334,0.0033666666666666,8.14847880316505,100.0,0.254,0.392012837644506,0.6731567037107284,0.7415306268002013,0.7415306268002013,0.0031769300411866224
70,4350B,5,5.75,2.6933333333333334,0.0040333333333333,7.53324260609821,100.0,0.254,0.3905406216787,0.6731567037107284,0.7415306268002013,0.7415306268002013,0.0031769295514112125
71,4350B,5,5.75,2.6933333333333334,0.0047,8.1911862873101,100.0,0.254,0.390282668969145,0.6731567037107284,0.7415306268002013,0.7415306268002013,0.0031769289733886616
72,4350B,5,5.75,3.2266666666666666,0.0027,7.56249438353138,100.0,0.254,0.346063011191625,0.5948348217777082,0.6690127201746134,0.6690127201746134,0.002902523255112209
73,4350B,5,5.75,3.2266666666666666,0.0033666666666666,7.60500986082028,100.0,0.254,0.348370398157062,0.5948348217777082,0.6690127201746134,0.6690127201746134,0.002902522888266184
74,4350B,5,5.75,3.2266666666666666,0.0040333333333333,7.58131701099559,100.0,0.254,0.343832403343948,0.5948348217777082,0.6690127201746134,0.6690127201746134,0.0029025224407950973
75,4350B,5,5.75,3.2266666666666666,0.0047,7.59382468855594,100.0,0.254,0.344929071621015,0.5948348217777082,0.6690127201746134,0.6690127201746134,0.002902521912699212
76,4350B,5,5.75,3.76,0.0027,7.10269791632758,100.0,0.254,0.300417841960637,0.5332781194404852,0.6125045812966915,0.6125045812966915,0.0026888020887562924
77,4350B,5,5.75,3.76,0.0033666666666666,7.08757112062817,100.0,0.254,0.302218601033025,0.5332781194404852,0.6125045812966915,0.6125045812966915,0.0026888017489221988
78,4350B,5,5.75,3.76,0.0040333333333333,7.14861013178038,100.0,0.254,0.303536802650373,0.5332781194404852,0.6125045812966915,0.6125045812966915,0.0026888013343997
79,4350B,5,5.75,3.76,0.0047,7.10031589021489,100.0,0.254,0.302183691961952,0.5332781194404852,0.6125045812966915,0.6125045812966915,0.002688800845189039
80,4350B,5,6.5,2.16,0.0027,7.84244140459688,100.0,0.254,0.461140406704218,0.7778163870605752,0.7370805531508458,0.7370805531508458,0.0031381982202708923
81,4350B,5,6.5,2.16,0.0033666666666666,7.89513061752601,100.0,0.254,0.46163951904761,0.7778163870605752,0.7370805531508458,0.7370805531508458,0.003138197823638224
82,4350B,5,6.5,2.16,0.0040333333333333,7.95266956287882,100.0,0.254,0.461453746032033,0.7778163870605752,0.7370805531508458,0.7370805531508458,0.0031381973398340157
83,4350B,5,6.5,2.16,0.0047,7.84591932892787,100.0,0.254,0.461018198000972,0.7778163870605752,0.7370805531508458,0.7370805531508458,0.00313819676885855
84,4350B,5,6.5,2.6933333333333334,0.0027,7.10929171665582,100.0,0.254,0.389070134233816,0.6731567037107284,0.6498883816138937,0.6498883816138937,0.002810361545478304
85,4350B,5,6.5,2.6933333333333334,0.0033666666666666,7.14743867196979,100.0,0.254,0.39037896920234,0.6731567037107284,0.6498883816138937,0.6498883816138937,0.0028103611902804736
86,4350B,5,6.5,2.6933333333333334,0.0040333333333333,7.18560734154945,100.0,0.254,0.391683324453414,0.6731567037107284,0.6498883816138937,0.6498883816138937,0.0028103607570176114
87,4350B,5,6.5,2.6933333333333334,0.0047,7.22379581831004,100.0,0.254,0.392982707139731,0.6731567037107284,0.6498883816138937,0.6498883816138937,0.00281036024568997
88,4350B,5,6.5,3.2266666666666666,0.0027,6.71339261527119,100.0,0.254,0.342193139910946,0.5948348217777082,0.5852860687416448,0.5852860687416448,0.002567616725676185
89,4350B,5,6.5,3.2266666666666666,0.0033666666666666,6.57071853944972,100.0,0.254,0.343623041322158,0.5948348217777082,0.5852860687416448,0.5852860687416448,0.0025676164011585473
90,4350B,5,6.5,3.2266666666666666,0.0040333333333333,6.60515275854684,100.0,0.254,0.344688728759162,0.5948348217777082,0.5852860687416448,0.5852860687416448,0.0025676160053187402
91,4350B,5,6.5,3.2266666666666666,0.0047,6.63577036843421,100.0,0.254,0.343823565116306,0.5948348217777082,0.5852860687416448,0.5852860687416448,0.002567615538156995
92,4350B,5,6.5,3.76,0.0027,6.09298872396734,100.0,0.254,0.302586899271523,0.5332781194404852,0.5349429649130761,0.5349429649130761,0.0023785556938997966
93,4350B,5,6.5,3.76,0.0033666666666666,6.12798556031403,100.0,0.254,0.305496073865086,0.5332781194404852,0.5349429649130761,0.5349429649130761,0.0023785553932773296
94,4350B,5,6.5,3.76,0.0040333333333333,6.16298936800126,100.0,0.254,0.302751902242419,0.5332781194404852,0.5349429649130761,0.5349429649130761,0.0023785550265843503
95,4350B,5,6.5,3.76,0.0047,6.19449697084408,100.0,0.254,0.301565808764678,0.5332781194404852,0.5349429649130761,0.5349429649130761,0.0023785545938210728
96,4350B,5,7.25,2.16,0.0027,7.09601051753644,100.0,0.254,0.460708808957362,0.7778163870605752,0.6559202358614165,0.6559202358614165,0.0028135570250704556
97,4350B,5,7.25,2.16,0.0033666666666666,7.11523205347772,100.0,0.254,0.461550358418279,0.7778163870605752,0.6559202358614165,0.6559202358614165,0.0028135566694687526
98,4350B,5,7.25,2.16,0.0040333333333333,7.13659717484902,100.0,0.254,0.462483495121627,0.7778163870605752,0.6559202358614165,0.6559202358614165,0.0028135562357132554
99,4350B,5,7.25,2.16,0.0047,6.85630523369897,100.0,0.254,0.459428347395147,0.7778163870605752,0.6559202358614165,0.6559202358614165,0.002813555723804217
100,4350B,5,7.25,2.6933333333333334,0.0027,6.31591195425937,100.0,0.254,0.389680608760523,0.6731567037107284,0.5772066009488912,0.5772066009488912,0.002519634489049514
101,4350B,5,7.25,2.6933333333333334,0.0033666666666666,6.33285030469248,100.0,0.254,0.386709300201295,0.6731567037107284,0.5772066009488912,0.5772066009488912,0.002519634170596287
102,4350B,5,7.25,2.6933333333333334,0.0040333333333333,6.34979366693065,100.0,0.254,0.387188098468288,0.6731567037107284,0.5772066009488912,0.5772066009488912,0.00251963378215372
103,4350B,5,7.25,2.6933333333333334,0.0047,6.36674182933088,100.0,0.254,0.391461478928089,0.6731567037107284,0.5772066009488912,0.5772066009488912,0.002519633323722042
104,4350B,5,7.25,3.2266666666666666,0.0027,5.73864766735534,100.0,0.254,0.3422170856321,0.5948348217777082,0.5188821727775663,0.5188821727775663,0.0023020012023303726
105,4350B,5,7.25,3.2266666666666666,0.0033666666666666,5.75219741440721,100.0,0.254,0.342754393372224,0.5948348217777082,0.5188821727775663,0.5188821727775663,0.0023020009113835253
106,4350B,5,7.25,3.2266666666666666,0.0040333333333333,5.7657501364311,100.0,0.254,0.343357215748114,0.5948348217777082,0.5188821727775663,0.5188821727775663,0.002302000556492664
107,4350B,5,7.25,3.2266666666666666,0.0047,5.78100033818138,100.0,0.254,0.343891539553282,0.5948348217777082,0.5188821727775663,0.5188821727775663,0.002302000137657996
108,4350B,5,7.25,3.76,0.0027,5.56576396804525,100.0,0.254,0.305373594132604,0.5332781194404852,0.4734285795053811,0.4734285795053811,0.0021324982083239558
109,4350B,5,7.25,3.76,0.0033666666666666,5.58900112453492,100.0,0.254,0.306037486997871,0.5332781194404852,0.4734285795053811,0.4734285795053811,0.0021324979388003644
110,4350B,5,7.25,3.76,0.0040333333333333,5.60991264021851,100.0,0.254,0.306631932549683,0.5332781194404852,0.4734285795053811,0.4734285795053811,0.0021324976100411414
111,4350B,5,7.25,3.76,0.0047,5.33182408871888,100.0,0.254,0.300411370094672,0.5332781194404852,0.4734285795053811,0.4734285795053811,0.0021324972220464794
112,4350B,5,8.0,2.16,0.0027,6.27892902329687,100.0,0.254,0.45714084431149,0.7778163870605752,0.5899774780637551,0.5899774780637551,0.0025497860539701
